"WT"	"dQ"	"HtoA"	"Null"	"WT_pH7"
"YBL034C"	0.0891496796631792	-0.578267894076206	-0.382051743667354	0.25010016936471	-0.05187893514976
"YBL035C"	-0.0940118320765321	-0.276094671166678	-0.134011749772618	0.510130478885995	-0.339762614747854
"YBL036C"	0.220870414600232	0.488477797867448	0.609006677059153	-0.110050637328072	0.653922501346564
"YBL037W"	-0.557883680844877	-0.154452056939686	-0.589952867706992	-0.0847552482625334	-1.3771786870372
"YBL038W"	0.434209526587821	0.486251377733782	0.511700169648746	0.490056406397991	1.1107384814378
"YBL039C"	0.274380370775325	-0.156656192440381	1.18153657500365	-0.349620172822487	1.13252191176796
"YBL039W-B"	0.980900067929175	0.423411081949268	0.674189829573881	0.435160025014055	0.334554045924391
"YBL040C"	-0.414072671270087	-0.371190449253972	-0.269125192352926	-0.568922672920732	-0.82054634862015
"YBL041W"	0.0927845705555992	0.454839343747901	0.633053369836978	-0.502110081983865	0.382739255154993
"YBL042C"	-1.03094945109866	-1.64410620838141	-0.934205710347811	-0.698304947489407	-0.731102545675226
"YBL043W"	4.89580165369893	2.79493555545744	3.25507516708721	3.38737789913325	2.78181142620186
"YBL044W"	-1.895661500475	-1.49402492903146	-2.30204500792949	-1.5932029825016	0.563829166081729
"YBL045C"	0.413264823181735	0.91043237839725	0.721754284711911	0.276613820459124	0.440174554217287
"YBL046W"	-0.337583320314808	-0.351185323346533	-0.42651791643415	0.0513006895351948	0.675648101678824
"YBL047C"	0.0841634110763796	0.282567971729363	-0.00618413953675952	-0.0488295789180608	-0.0803984525877205
"YBL048W"	1.92964257376652	0.669528360556448	0.620600267445269	2.00408366040443	1.98560110014979
"YBL049W"	2.27852582622796	1.8420045617036	1.52609186945657	2.33020661515652	2.68656027871031
"YBL050W"	0.35327307203566	0.121711161447392	0.244946094160836	0.133410433523854	0.68782599888796
"YBL051C"	0.192416287061339	0.447804095873435	0.358505593597552	-0.323321028245935	1.20690024121435
"YBL052C"	0.0084268892916237	0.00634640945435858	0.0595419469659112	0.0370214694028021	0.129570631758927
"YBL053W"	1.06325959891208	0.838622514455246	0.847878008700137	0.811333600084282	0.393116216606226
"YBL054W"	-0.191901046534584	-0.466791923309689	0.668967803262055	0.10753023560667	0.628754314613175
"YBL055C"	-0.236757650803969	-0.326447026867158	-0.032109081560824	-0.341664057101499	0.2287452630464
"YBL056W"	-0.244370599359259	0.159977254123413	0.148496197274318	-0.259969212853894	-0.201176972785249
"YBL057C"	0.190466352017891	-0.068552852747553	0.153002815628606	-0.149224769513627	0.523018756478306
"YBL058W"	0.363393219643778	0.514500055746855	0.602704037074374	0.169329199629998	0.625203100145543
